split,top_n,hits,positions,accuracy
train,1,3510375,6428225,0.5460877613960308
train,2,4810321,6428225,0.7483124812837136
train,3,5482106,6428225,0.852818001858989
train,5,6095644,6428225,0.9482623896954447
train,10,6415109,6428225,0.9979596233797043
val,1,431038,803528,0.536431835604982
val,2,594137,803528,0.739410449915871
val,3,679376,803528,0.8454913830009657
val,5,758796,803528,0.9443305024840454
val,10,801667,803528,0.9976839637199948
test,1,431847,803529,0.5374379767251711
test,2,594573,803529,0.7399521361394549
test,3,679836,803529,0.8460628054494611
test,5,759155,803529,0.9447761064006401
test,10,801724,803529,0.997753659170982
