split,top_n,hits,positions,accuracy
train,1,4525646,6428225,0.7040273170276399
train,2,5684114,6428225,0.8842431619926185
train,3,6116900,6428225,0.9515690567769486
train,5,6371134,6428225,0.9911186991743444
train,10,6427800,6428225,0.9999338853260425
val,1,445399,803528,0.5543042681773379
val,2,605480,803528,0.7535269461674018
val,3,686292,803528,0.8540984259415976
val,5,760038,803528,0.9458761860196533
val,10,801119,803528,0.9970019713065381
test,1,446594,803529,0.5557907679747713
test,2,606106,803529,0.7543050717522329
test,3,686418,803529,0.8542541712869106
test,5,759780,803529,0.945553925247253
test,10,800930,803529,0.996765518108245
