split,top_n,hits,positions,accuracy
train,1,5011524,6428225,0.7796124124466708
train,2,5974008,6428225,0.9293402144448896
train,3,6268863,6428225,0.9752090195971672
train,5,6405549,6428225,0.996472432125509
train,10,6428104,6428225,0.9999811767634145
val,1,437660,803528,0.5446729921048178
val,2,596394,803528,0.7422193128304179
val,3,677916,803528,0.8436743959140192
val,5,755170,803528,0.9398179030475603
val,10,800589,803528,0.9963423801037425
test,1,437976,803529,0.5450655794625956
test,2,596938,803529,0.742895402655038
test,3,678598,803529,0.8445221018780903
test,5,755192,803529,0.9398441126580372
test,10,800559,803529,0.9963038048408956
