epoch,accuracy,loss,top3,top5,val_accuracy,val_loss,val_top3,val_top5
0,0.406281054019928,1.8558541536331177,0.6862013936042786,0.809927761554718,0.4664691090583801,1.5717778205871582,0.7658525705337524,0.8829611539840698
1,0.49366363883018494,1.4693986177444458,0.7934120297431946,0.9033535718917847,0.5044852495193481,1.4235138893127441,0.8052948713302612,0.9123839139938354
2,0.5274935364723206,1.343848466873169,0.8274988532066345,0.9267500638961792,0.5251889228820801,1.3436726331710815,0.8270962834358215,0.9272757172584534
3,0.548717737197876,1.2653166055679321,0.8477912545204163,0.9399055242538452,0.5378493070602417,1.2961304187774658,0.8386378288269043,0.934814989566803
4,0.5643813014030457,1.2091559171676636,0.8620284795761108,0.9487387537956238,0.5465273261070251,1.2672728300094604,0.8470383286476135,0.9399199485778809
5,0.5760059952735901,1.1668944358825684,0.8726134896278381,0.9550773501396179,0.5513610243797302,1.2482621669769287,0.8518321514129639,0.9433274269104004
6,0.5866014361381531,1.132209300994873,0.8809155225753784,0.9597486257553101,0.5565580725669861,1.2381644248962402,0.8555184006690979,0.944982647895813
7,0.5948694944381714,1.1041691303253174,0.8878276944160461,0.9635865092277527,0.5580353140830994,1.2305647134780884,0.858154296875,0.9461922645568848
8,0.6028088331222534,1.0789644718170166,0.8936411142349243,0.9666616916656494,0.5599182844161987,1.2315560579299927,0.8581517934799194,0.9465270638465881
9,0.6098670959472656,1.0565459728240967,0.8989010453224182,0.9693649411201477,0.5606662034988403,1.2343316078186035,0.8591424226760864,0.9466552734375
10,0.6164270639419556,1.035982608795166,0.9034526348114014,0.9716817736625671,0.5606450438499451,1.2346820831298828,0.8588051795959473,0.9467236995697021
11,0.6227744221687317,1.016374945640564,0.9079811573028564,0.9737442135810852,0.5628415942192078,1.240889072418213,0.8600285053253174,0.9467772245407104
12,0.629021406173706,0.9977672100067139,0.9121108651161194,0.9757097959518433,0.5616344213485718,1.2535052299499512,0.8590988516807556,0.9458712339401245
13,0.6347746253013611,0.9803066849708557,0.9157955646514893,0.9773514270782471,0.5612561106681824,1.2596943378448486,0.8584492206573486,0.945724368095398
14,0.6408885717391968,0.9633147716522217,0.9196160435676575,0.9788204431533813,0.559867262840271,1.2785738706588745,0.8564953804016113,0.9443143010139465
15,0.646629810333252,0.9465813040733337,0.9229045510292053,0.9802419543266296,0.5600414872169495,1.2827939987182617,0.8570130467414856,0.9441139698028564
16,0.6520297527313232,0.9311226606369019,0.9260257482528687,0.9814362525939941,0.5588517189025879,1.2980185747146606,0.8561655879020691,0.943723201751709
17,0.6575391888618469,0.9157246351242065,0.9289654493331909,0.9826815128326416,0.559188961982727,1.3180865049362183,0.8556241989135742,0.942988932132721
18,0.6626331806182861,0.9011613130569458,0.9316549897193909,0.9837060570716858,0.5567796230316162,1.3377668857574463,0.8537487387657166,0.94172203540802
19,0.6676628589630127,0.8870985507965088,0.934290885925293,0.9846422672271729,0.5565008521080017,1.3517005443572998,0.8527742624282837,0.9408807158470154
20,0.6725598573684692,0.8734939098358154,0.9367750883102417,0.9854868054389954,0.5561884641647339,1.3671995401382446,0.851764976978302,0.940213680267334
21,0.6773289442062378,0.8604728579521179,0.9390565752983093,0.9862881302833557,0.5546589493751526,1.383559226989746,0.8493630886077881,0.9394432902336121
22,0.681242823600769,0.8493127822875977,0.9409435987472534,0.9869982600212097,0.5534318685531616,1.401223063468933,0.8494899868965149,0.9387152791023254
23,0.6858384609222412,0.8369420766830444,0.9430996775627136,0.9876726269721985,0.55446857213974,1.413567304611206,0.8494651317596436,0.9388272762298584
24,0.6899093985557556,0.8257644772529602,0.9448245763778687,0.9882891178131104,0.5531418919563293,1.4334574937820435,0.8487246036529541,0.9380618929862976
25,0.6940844655036926,0.8146644830703735,0.9466665983200073,0.9888765811920166,0.5525631904602051,1.450840711593628,0.847790002822876,0.9371347427368164
26,0.6977949738502502,0.8043035864830017,0.9483634829521179,0.9893653392791748,0.5524499416351318,1.4705073833465576,0.847324550151825,0.9367128610610962
27,0.7016355395317078,0.7945289611816406,0.9498215913772583,0.989759087562561,0.5497443675994873,1.4839684963226318,0.8453644514083862,0.9352157115936279
28,0.7048916220664978,0.7849774956703186,0.9511827826499939,0.990213930606842,0.5493374466896057,1.5060068368911743,0.8447496294975281,0.934939444065094
29,0.7081519365310669,0.7760872840881348,0.9525653123855591,0.9905847907066345,0.5492403507232666,1.5244992971420288,0.8440154194831848,0.9339724183082581
30,0.711399495601654,0.767385721206665,0.953884482383728,0.9909663796424866,0.5479958653450012,1.5329041481018066,0.842784583568573,0.9333663582801819
31,0.714166522026062,0.7597742080688477,0.9549881815910339,0.9913162589073181,0.5477195382118225,1.557779312133789,0.8427534699440002,0.933555543422699
32,0.7172282934188843,0.7520831227302551,0.9559736847877502,0.991629421710968,0.5479286313056946,1.575091004371643,0.8420353531837463,0.9329108595848083
33,0.7201314568519592,0.7444261312484741,0.9570187926292419,0.9918772578239441,0.5466828942298889,1.589585542678833,0.8414155840873718,0.9324030876159668
