split,top_n,hits,positions,accuracy
train,1,4045733,6428225,0.6293701605030938
train,2,5316363,6428225,0.8270343679631624
train,3,5877273,6428225,0.9142917368324849
train,5,6287844,6428225,0.9781617787180754
train,10,6425621,6428225,0.9995949115035644
val,1,457342,803528,0.5691674714509015
val,2,619794,803528,0.7713408866896985
val,3,699446,803528,0.8704687328879641
val,5,768401,803528,0.9562840373950877
val,10,801805,803528,0.9978557063350624
test,1,458666,803529,0.5708144945608684
test,2,620033,803529,0.771637364675077
test,3,699622,803529,0.8706866833679929
test,5,767866,803529,0.9556170343571918
test,10,801854,803529,0.9979154454910775
