split,top_n,hits,positions,accuracy
train,1,3965138,6428225,0.6168324848616842
train,2,5242737,6428225,0.815580817410716
train,3,5823084,6428225,0.9058618825570045
train,5,6263992,6428225,0.9744512676516457
train,10,6424504,6428225,0.9994211465840104
val,1,461208,803528,0.5739787536961998
val,2,623539,803528,0.7760015830188867
val,3,703539,803528,0.8755625192899315
val,5,771620,803528,0.9602901205682938
val,10,802258,803528,0.9984194701366972
test,1,461798,803529,0.5747123003650149
test,2,624577,803529,0.7772924188174913
test,3,704432,803529,0.8766727772115257
test,5,771447,803529,0.960073625220745
test,10,802284,803529,0.9984505848575471
