epoch,loss,accuracy,top3,top5,val_loss,val_accuracy,val_top3,val_top5
1,1.9100682735443115,0.3863295018672943,0.665194034576416,0.7956486940383911,1.6774811744689941,0.43362894654273987,0.7286416888237,0.8556901812553406
2,1.5981714725494385,0.4539901614189148,0.7516953945159912,0.8734347224235535,1.5606961250305176,0.46452394127845764,0.7626454830169678,0.8813756108283997
3,1.5041248798370361,0.4792008697986603,0.7798978686332703,0.8945215940475464,1.4889326095581055,0.4841262400150299,0.7838308215141296,0.8979886174201965
4,1.4412081241607666,0.4963597357273102,0.7979616522789001,0.9079991579055786,1.4408046007156372,0.49636727571487427,0.7979149222373962,0.9079471826553345
5,1.3962653875350952,0.5089128017425537,0.8109226226806641,0.9170231223106384,1.4021174907684326,0.505871593952179,0.8098697066307068,0.9169636964797974
6,1.3608380556106567,0.5185966491699219,0.8210257291793823,0.9238520860671997,1.376735806465149,0.5136111974716187,0.8169896006584167,0.9220288395881653
7,1.3313066959381104,0.526935338973999,0.8290176391601562,0.9292963743209839,1.3497828245162964,0.5208169221878052,0.8243807554244995,0.9265626072883606
8,1.307157278060913,0.5337046980857849,0.8355752825737,0.9336928725242615,1.3391724824905396,0.5243513584136963,0.8269307613372803,0.9281916618347168
9,1.2850229740142822,0.5398491621017456,0.8413563370704651,0.9374272227287292,1.3101212978363037,0.5308738350868225,0.833928644657135,0.9334484934806824
10,1.2661010026931763,0.5448169708251953,0.8462371826171875,0.9405409693717957,1.296772837638855,0.5328750014305115,0.8371967077255249,0.9357545971870422
11,1.2478069067001343,0.5498226881027222,0.8508392572402954,0.9433067440986633,1.2793086767196655,0.5381368398666382,0.8414517045021057,0.9385036826133728
12,1.2321369647979736,0.5539342761039734,0.8546921014785767,0.9458673000335693,1.2695817947387695,0.5412319302558899,0.8442991375923157,0.9401962161064148
13,1.2187036275863647,0.557672917842865,0.8579931259155273,0.9479139447212219,1.256287693977356,0.5447501540184021,0.8474365472793579,0.9422745704650879
14,1.2060481309890747,0.5608360171318054,0.8613016605377197,0.9499432444572449,1.246283769607544,0.5471420884132385,0.8504507541656494,0.9441861510276794
15,1.1939959526062012,0.5642949938774109,0.8642114996910095,0.9516549110412598,1.239686369895935,0.5488022565841675,0.8522465825080872,0.9454032778739929
16,1.1843061447143555,0.5669121742248535,0.8666160702705383,0.9531007409095764,1.2312723398208618,0.5520069003105164,0.8547828793525696,0.9467224478721619
