split,top_n,hits,positions,accuracy
train,1,4878681,6428225,0.7589468321348428
train,2,5887273,6428225,0.9158473762197185
train,3,6219515,6428225,0.9675322503490466
train,5,6392419,6428225,0.9944298776100712
train,10,6427947,6428225,0.9999567532250349
val,1,439615,803528,0.5471060124849414
val,2,599448,803528,0.746020051572565
val,3,681647,803528,0.84831766907936
val,5,758318,803528,0.9437356258898258
val,10,801289,803528,0.9972135382961141
test,1,440070,803529,0.5476715837262874
test,2,599658,803529,0.7462804702754973
test,3,682001,803529,0.8487571699341281
test,5,758279,803529,0.9436859155052275
test,10,801301,803529,0.9972272313755944
