split,top_n,hits,positions,accuracy
train,1,3778686,6428225,0.5878272773588354
train,2,5083768,6428225,0.7908509736358015
train,3,5706368,6428225,0.8877050818849682
train,5,6213791,6428225,0.966641802363794
train,10,6422231,6428225,0.9990675497512922
val,1,455438,803528,0.5667979211676507
val,2,619885,803528,0.7714541372547068
val,3,701046,803528,0.872459951613385
val,5,770978,803528,0.9594911440547187
val,10,802375,803528,0.9985650780059936
test,1,456013,803529,0.5675128091207661
test,2,620247,803529,0.7719036898481573
test,3,701137,803529,0.8725721162521826
test,5,770776,803529,0.9592385589070214
test,10,802368,803529,0.9985551237105319
