1 240
272.138 COORD_A1, COORD_E1, COORD_F1, COORD_B2, COORD_G3, COORD_D5, COORD_H5, COORD_C8, COORD_F8, COORD_H8
272.982 COORD_A1, COORD_B1, COORD_H1, COORD_C3, COORD_G3, COORD_H3, COORD_A6, COORD_B6, COORD_D6, COORD_A8
273.092 COORD_A1, COORD_F1, COORD_G1, COORD_H1, COORD_A3, COORD_H3, COORD_H4, COORD_E5, COORD_B8, COORD_E8
273.17 COORD_A1, COORD_G1, COORD_H1, COORD_B3, COORD_F3, COORD_G3, COORD_E4, COORD_A8, COORD_B8, COORD_E8
273.725 COORD_A1, COORD_A2, COORD_H3, COORD_G6, COORD_B7, COORD_C7, COORD_A8, COORD_B8, COORD_E8, COORD_G8
273.743 COORD_A1, COORD_D1, COORD_F1, COORD_G1, COORD_H1, COORD_C2, COORD_G2, COORD_E4, COORD_H4, COORD_E7
274.825 COORD_H1, COORD_F3, COORD_H3, COORD_D4, COORD_H5, COORD_F6, COORD_G6, COORD_G7, COORD_A8, COORD_H8
275.366 COORD_H1, COORD_B2, COORD_A5, COORD_H6, COORD_B7, COORD_G7, COORD_A8, COORD_D8, COORD_E8, COORD_G8
275.808 COORD_A1, COORD_B1, COORD_H1, COORD_B2, COORD_E2, COORD_F2, COORD_H3, COORD_H4, COORD_A5, COORD_D7
275.982 COORD_H1, COORD_B2, COORD_C2, COORD_C5, COORD_G5, COORD_A6, COORD_G7, COORD_A8, COORD_C8, COORD_H8
1665 280392
221.65 COORD_A1, COORD_H1, COORD_H3, COORD_F6, COORD_B7, COORD_A8, COORD_C8, COORD_D8, COORD_E8, COORD_H8
250.616 COORD_H1, COORD_F2, COORD_B3, COORD_B4, COORD_C5, COORD_B6, COORD_A8, COORD_E8, COORD_G8, COORD_H8
252.827 COORD_A1, COORD_B1, COORD_F1, COORD_A4, COORD_A5, COORD_A7, COORD_E7, COORD_A8, COORD_B8, COORD_E8
261.957 COORD_C1, COORD_E1, COORD_D2, COORD_H4, COORD_B5, COORD_H5, COORD_A6, COORD_A8, COORD_C8, COORD_H8
262.118 COORD_H1, COORD_D2, COORD_B3, COORD_D5, COORD_C6, COORD_C7, COORD_A8, COORD_D8, COORD_E8, COORD_H8
262.12 COORD_A1, COORD_H1, COORD_H2, COORD_B3, COORD_H3, COORD_A5, COORD_G6, COORD_H6, COORD_C8, COORD_E8
262.24 COORD_A1, COORD_E1, COORD_F1, COORD_B2, COORD_H5, COORD_H6, COORD_E7, COORD_C8, COORD_F8, COORD_H8
262.256 COORD_A1, COORD_B1, COORD_A2, COORD_G3, COORD_G4, COORD_G5, COORD_B6, COORD_G6, COORD_B7, COORD_A8
262.49 COORD_E1, COORD_G3, COORD_G4, COORD_H4, COORD_G5, COORD_G7, COORD_A8, COORD_F8, COORD_G8, COORD_H8
263.252 COORD_H1, COORD_G2, COORD_C3, COORD_H3, COORD_A5, COORD_G5, COORD_A6, COORD_D7, COORD_A8, COORD_H8
263.41 COORD_A1, COORD_C1, COORD_H1, COORD_C4, COORD_E4, COORD_A7, COORD_F7, COORD_A8, COORD_E8, COORD_F8
263.636 COORD_H1, COORD_H2, COORD_C3, COORD_D3, COORD_F5, COORD_A6, COORD_H7, COORD_A8, COORD_C8, COORD_H8
264.172 COORD_H1, COORD_C2, COORD_G2, COORD_D4, COORD_C5, COORD_C7, COORD_H7, COORD_D8, COORD_E8, COORD_H8
264.598 COORD_A1, COORD_E1, COORD_H1, COORD_B2, COORD_C2, COORD_G2, COORD_B3, COORD_B4, COORD_D7, COORD_F8
264.878 COORD_H1, COORD_H2, COORD_A3, COORD_B3, COORD_B4, COORD_H4, COORD_G6, COORD_H6, COORD_D8, COORD_H8
265.327 COORD_A1, COORD_C1, COORD_H1, COORD_B2, COORD_H4, COORD_G6, COORD_H6, COORD_B8, COORD_D8, COORD_E8
266.789 COORD_D1, COORD_H1, COORD_A2, COORD_G2, COORD_C3, COORD_H3, COORD_G5, COORD_A6, COORD_A8, COORD_H8
266.975 COORD_E1, COORD_G1, COORD_H1, COORD_D2, COORD_A3, COORD_E6, COORD_C7, COORD_A8, COORD_G8, COORD_H8
267.537 COORD_G3, COORD_A4, COORD_G4, COORD_B7, COORD_C7, COORD_H7, COORD_A8, COORD_B8, COORD_F8, COORD_H8
267.945 COORD_A1, COORD_E1, COORD_H1, COORD_B2, COORD_G2, COORD_G4, COORD_D5, COORD_G5, COORD_C6, COORD_C7
268.089 COORD_F1, COORD_G1, COORD_H1, COORD_F2, COORD_A4, COORD_H5, COORD_A6, COORD_H6, COORD_A8, COORD_B8
268.135 COORD_H3, COORD_H4, COORD_A7, COORD_B7, COORD_D7, COORD_F7, COORD_A8, COORD_D8, COORD_F8, COORD_H8
268.274 COORD_A1, COORD_C1, COORD_H1, COORD_C4, COORD_C5, COORD_A7, COORD_F7, COORD_A8, COORD_E8, COORD_F8
268.351 COORD_D1, COORD_F1, COORD_A3, COORD_B3, COORD_F3, COORD_G3, COORD_H6, COORD_A8, COORD_F8, COORD_H8
269.333 COORD_H1, COORD_F2, COORD_G2, COORD_A3, COORD_B4, COORD_F4, COORD_H4, COORD_B6, COORD_A8, COORD_H8
269.668 COORD_A1, COORD_B1, COORD_F1, COORD_G1, COORD_H1, COORD_H2, COORD_H3, COORD_H5, COORD_D6, COORD_G8
269.679 COORD_E1, COORD_H1, COORD_G2, COORD_C3, COORD_H5, COORD_C7, COORD_E7, COORD_E8, COORD_F8, COORD_H8
269.781 COORD_A1, COORD_E1, COORD_F1, COORD_C2, COORD_H2, COORD_A6, COORD_D6, COORD_A7, COORD_A8, COORD_H8
270.192 COORD_A1, COORD_D1, COORD_H1, COORD_E2, COORD_H2, COORD_E5, COORD_D7, COORD_E7, COORD_A8, COORD_B8
270.292 COORD_A1, COORD_H1, COORD_C2, COORD_A3, COORD_G3, COORD_B5, COORD_D5, COORD_B6, COORD_A8, COORD_C8
270.701 COORD_A1, COORD_E1, COORD_A3, COORD_B5, COORD_G5, COORD_H5, COORD_D6, COORD_A7, COORD_A8, COORD_H8
270.826 COORD_D1, COORD_G1, COORD_H1, COORD_B4, COORD_H4, COORD_D5, COORD_D7, COORD_E8, COORD_G8, COORD_H8
270.931 COORD_A1, COORD_E1, COORD_B2, COORD_D2, COORD_A3, COORD_H4, COORD_A8, COORD_B8, COORD_D8, COORD_G8
271.172 COORD_D1, COORD_E1, COORD_E2, COORD_D3, COORD_H5, COORD_A8, COORD_C8, COORD_E8, COORD_G8, COORD_H8
271.201 COORD_G3, COORD_A4, COORD_G4, COORD_F6, COORD_B7, COORD_H7, COORD_A8, COORD_B8, COORD_F8, COORD_H8
271.791 COORD_E3, COORD_H3, COORD_B4, COORD_H5, COORD_G6, COORD_B7, COORD_A8, COORD_B8, COORD_F8, COORD_H8
272.068 COORD_D2, COORD_E2, COORD_F3, COORD_G5, COORD_H5, COORD_A6, COORD_G6, COORD_G7, COORD_A8, COORD_H8
272.138 COORD_A1, COORD_E1, COORD_F1, COORD_B2, COORD_G3, COORD_D5, COORD_H5, COORD_C8, COORD_F8, COORD_H8
272.982 COORD_A1, COORD_B1, COORD_H1, COORD_C3, COORD_G3, COORD_H3, COORD_A6, COORD_B6, COORD_D6, COORD_A8
273.092 COORD_A1, COORD_F1, COORD_G1, COORD_H1, COORD_A3, COORD_H3, COORD_H4, COORD_E5, COORD_B8, COORD_E8
1793 304508
217.081 COORD_A1, COORD_C1, COORD_H1, COORD_E2, COORD_H3, COORD_A7, COORD_B7, COORD_A8, COORD_C8, COORD_H8
242.184 COORD_H1, COORD_C2, COORD_B3, COORD_C6, COORD_C7, COORD_G7, COORD_A8, COORD_D8, COORD_E8, COORD_H8
252.827 COORD_A1, COORD_B1, COORD_F1, COORD_A4, COORD_A5, COORD_A7, COORD_E7, COORD_A8, COORD_B8, COORD_E8
258.904 COORD_A1, COORD_H1, COORD_G2, COORD_H2, COORD_H3, COORD_B4, COORD_B5, COORD_H5, COORD_G6, COORD_H6
259.433 COORD_A1, COORD_C1, COORD_H1, COORD_A2, COORD_E2, COORD_A4, COORD_C4, COORD_G5, COORD_G6, COORD_A8
260.31 COORD_E1, COORD_H1, COORD_H2, COORD_B3, COORD_D5, COORD_C6, COORD_G6, COORD_A8, COORD_G8, COORD_H8
261.957 COORD_C1, COORD_E1, COORD_D2, COORD_H4, COORD_B5, COORD_H5, COORD_A6, COORD_A8, COORD_C8, COORD_H8
262.118 COORD_H1, COORD_D2, COORD_B3, COORD_D5, COORD_C6, COORD_C7, COORD_A8, COORD_D8, COORD_E8, COORD_H8
262.12 COORD_A1, COORD_H1, COORD_H2, COORD_B3, COORD_H3, COORD_A5, COORD_G6, COORD_H6, COORD_C8, COORD_E8
262.24 COORD_A1, COORD_E1, COORD_F1, COORD_B2, COORD_H5, COORD_H6, COORD_E7, COORD_C8, COORD_F8, COORD_H8
262.256 COORD_A1, COORD_B1, COORD_A2, COORD_G3, COORD_G4, COORD_G5, COORD_B6, COORD_G6, COORD_B7, COORD_A8
262.49 COORD_E1, COORD_G3, COORD_G4, COORD_H4, COORD_G5, COORD_G7, COORD_A8, COORD_F8, COORD_G8, COORD_H8
263.252 COORD_H1, COORD_G2, COORD_C3, COORD_H3, COORD_A5, COORD_G5, COORD_A6, COORD_D7, COORD_A8, COORD_H8
263.41 COORD_A1, COORD_C1, COORD_H1, COORD_C4, COORD_E4, COORD_A7, COORD_F7, COORD_A8, COORD_E8, COORD_F8
263.636 COORD_H1, COORD_H2, COORD_C3, COORD_D3, COORD_F5, COORD_A6, COORD_H7, COORD_A8, COORD_C8, COORD_H8
263.918 COORD_A1, COORD_H1, COORD_G3, COORD_F4, COORD_E5, COORD_H5, COORD_H6, COORD_E8, COORD_F8, COORD_H8
264.172 COORD_H1, COORD_C2, COORD_G2, COORD_D4, COORD_C5, COORD_C7, COORD_H7, COORD_D8, COORD_E8, COORD_H8
264.598 COORD_A1, COORD_E1, COORD_H1, COORD_B2, COORD_C2, COORD_G2, COORD_B3, COORD_B4, COORD_D7, COORD_F8
264.878 COORD_H1, COORD_H2, COORD_A3, COORD_B3, COORD_B4, COORD_H4, COORD_G6, COORD_H6, COORD_D8, COORD_H8
265.21 COORD_G1, COORD_H1, COORD_D2, COORD_E2, COORD_H3, COORD_A4, COORD_E6, COORD_B7, COORD_A8, COORD_H8
265.327 COORD_A1, COORD_C1, COORD_H1, COORD_B2, COORD_H4, COORD_G6, COORD_H6, COORD_B8, COORD_D8, COORD_E8
265.449 COORD_A1, COORD_B1, COORD_C1, COORD_G1, COORD_H1, COORD_H3, COORD_H4, COORD_F6, COORD_G6, COORD_G8
266.603 COORD_A1, COORD_F1, COORD_F4, COORD_H4, COORD_A5, COORD_B5, COORD_E7, COORD_A8, COORD_E8, COORD_H8
266.789 COORD_D1, COORD_H1, COORD_A2, COORD_G2, COORD_C3, COORD_H3, COORD_G5, COORD_A6, COORD_A8, COORD_H8
266.975 COORD_E1, COORD_G1, COORD_H1, COORD_D2, COORD_A3, COORD_E6, COORD_C7, COORD_A8, COORD_G8, COORD_H8
267.537 COORD_G3, COORD_A4, COORD_G4, COORD_B7, COORD_C7, COORD_H7, COORD_A8, COORD_B8, COORD_F8, COORD_H8
267.945 COORD_A1, COORD_E1, COORD_H1, COORD_B2, COORD_G2, COORD_G4, COORD_D5, COORD_G5, COORD_C6, COORD_C7
267.953 COORD_E1, COORD_F1, COORD_H1, COORD_E2, COORD_H2, COORD_B3, COORD_C3, COORD_H5, COORD_E8, COORD_H8
268.089 COORD_F1, COORD_G1, COORD_H1, COORD_F2, COORD_A4, COORD_H5, COORD_A6, COORD_H6, COORD_A8, COORD_B8
268.135 COORD_H3, COORD_H4, COORD_A7, COORD_B7, COORD_D7, COORD_F7, COORD_A8, COORD_D8, COORD_F8, COORD_H8
268.274 COORD_A1, COORD_C1, COORD_H1, COORD_C4, COORD_C5, COORD_A7, COORD_F7, COORD_A8, COORD_E8, COORD_F8
268.351 COORD_D1, COORD_F1, COORD_A3, COORD_B3, COORD_F3, COORD_G3, COORD_H6, COORD_A8, COORD_F8, COORD_H8
269.333 COORD_H1, COORD_F2, COORD_G2, COORD_A3, COORD_B4, COORD_F4, COORD_H4, COORD_B6, COORD_A8, COORD_H8
269.668 COORD_A1, COORD_B1, COORD_F1, COORD_G1, COORD_H1, COORD_H2, COORD_H3, COORD_H5, COORD_D6, COORD_G8
269.679 COORD_E1, COORD_H1, COORD_G2, COORD_C3, COORD_H5, COORD_C7, COORD_E7, COORD_E8, COORD_F8, COORD_H8
269.781 COORD_A1, COORD_E1, COORD_F1, COORD_C2, COORD_H2, COORD_A6, COORD_D6, COORD_A7, COORD_A8, COORD_H8
270.192 COORD_A1, COORD_D1, COORD_H1, COORD_E2, COORD_H2, COORD_E5, COORD_D7, COORD_E7, COORD_A8, COORD_B8
270.292 COORD_A1, COORD_H1, COORD_C2, COORD_A3, COORD_G3, COORD_B5, COORD_D5, COORD_B6, COORD_A8, COORD_C8
270.701 COORD_A1, COORD_E1, COORD_A3, COORD_B5, COORD_G5, COORD_H5, COORD_D6, COORD_A7, COORD_A8, COORD_H8
270.826 COORD_D1, COORD_G1, COORD_H1, COORD_B4, COORD_H4, COORD_D5, COORD_D7, COORD_E8, COORD_G8, COORD_H8
1921 328474
217.081 COORD_A1, COORD_C1, COORD_H1, COORD_E2, COORD_H3, COORD_A7, COORD_B7, COORD_A8, COORD_C8, COORD_H8
242.184 COORD_H1, COORD_C2, COORD_B3, COORD_C6, COORD_C7, COORD_G7, COORD_A8, COORD_D8, COORD_E8, COORD_H8
252.827 COORD_A1, COORD_B1, COORD_F1, COORD_A4, COORD_A5, COORD_A7, COORD_E7, COORD_A8, COORD_B8, COORD_E8
258.904 COORD_A1, COORD_H1, COORD_G2, COORD_H2, COORD_H3, COORD_B4, COORD_B5, COORD_H5, COORD_G6, COORD_H6
259.015 COORD_A1, COORD_H1, COORD_B2, COORD_D2, COORD_G2, COORD_E3, COORD_B7, COORD_D7, COORD_A8, COORD_C8
259.767 COORD_A1, COORD_F1, COORD_G1, COORD_H1, COORD_G3, COORD_F4, COORD_H5, COORD_B6, COORD_A8, COORD_F8
260.31 COORD_E1, COORD_H1, COORD_H2, COORD_B3, COORD_D5, COORD_C6, COORD_G6, COORD_A8, COORD_G8, COORD_H8
261.957 COORD_C1, COORD_E1, COORD_D2, COORD_H4, COORD_B5, COORD_H5, COORD_A6, COORD_A8, COORD_C8, COORD_H8
262.118 COORD_H1, COORD_D2, COORD_B3, COORD_D5, COORD_C6, COORD_C7, COORD_A8, COORD_D8, COORD_E8, COORD_H8
262.12 COORD_A1, COORD_H1, COORD_H2, COORD_B3, COORD_H3, COORD_A5, COORD_G6, COORD_H6, COORD_C8, COORD_E8
262.24 COORD_A1, COORD_E1, COORD_F1, COORD_B2, COORD_H5, COORD_H6, COORD_E7, COORD_C8, COORD_F8, COORD_H8
262.256 COORD_A1, COORD_B1, COORD_A2, COORD_G3, COORD_G4, COORD_G5, COORD_B6, COORD_G6, COORD_B7, COORD_A8
262.49 COORD_E1, COORD_G3, COORD_G4, COORD_H4, COORD_G5, COORD_G7, COORD_A8, COORD_F8, COORD_G8, COORD_H8
263.252 COORD_H1, COORD_G2, COORD_C3, COORD_H3, COORD_A5, COORD_G5, COORD_A6, COORD_D7, COORD_A8, COORD_H8
263.41 COORD_A1, COORD_C1, COORD_H1, COORD_C4, COORD_E4, COORD_A7, COORD_F7, COORD_A8, COORD_E8, COORD_F8
263.636 COORD_H1, COORD_H2, COORD_C3, COORD_D3, COORD_F5, COORD_A6, COORD_H7, COORD_A8, COORD_C8, COORD_H8
263.918 COORD_A1, COORD_H1, COORD_G3, COORD_F4, COORD_E5, COORD_H5, COORD_H6, COORD_E8, COORD_F8, COORD_H8
264.06 COORD_A1, COORD_B1, COORD_H1, COORD_F2, COORD_A5, COORD_F6, COORD_E7, COORD_H7, COORD_C8, COORD_H8
264.172 COORD_H1, COORD_C2, COORD_G2, COORD_D4, COORD_C5, COORD_C7, COORD_H7, COORD_D8, COORD_E8, COORD_H8
264.598 COORD_A1, COORD_E1, COORD_H1, COORD_B2, COORD_C2, COORD_G2, COORD_B3, COORD_B4, COORD_D7, COORD_F8
264.878 COORD_H1, COORD_H2, COORD_A3, COORD_B3, COORD_B4, COORD_H4, COORD_G6, COORD_H6, COORD_D8, COORD_H8
265.21 COORD_G1, COORD_H1, COORD_D2, COORD_E2, COORD_H3, COORD_A4, COORD_E6, COORD_B7, COORD_A8, COORD_H8
265.327 COORD_A1, COORD_C1, COORD_H1, COORD_B2, COORD_H4, COORD_G6, COORD_H6, COORD_B8, COORD_D8, COORD_E8
265.335 COORD_H3, COORD_A5, COORD_G5, COORD_H5, COORD_G6, COORD_B7, COORD_A8, COORD_B8, COORD_F8, COORD_H8
265.449 COORD_A1, COORD_B1, COORD_C1, COORD_G1, COORD_H1, COORD_H3, COORD_H4, COORD_F6, COORD_G6, COORD_G8
266.603 COORD_A1, COORD_F1, COORD_F4, COORD_H4, COORD_A5, COORD_B5, COORD_E7, COORD_A8, COORD_E8, COORD_H8
266.789 COORD_D1, COORD_H1, COORD_A2, COORD_G2, COORD_C3, COORD_H3, COORD_G5, COORD_A6, COORD_A8, COORD_H8
266.975 COORD_E1, COORD_G1, COORD_H1, COORD_D2, COORD_A3, COORD_E6, COORD_C7, COORD_A8, COORD_G8, COORD_H8
267.537 COORD_G3, COORD_A4, COORD_G4, COORD_B7, COORD_C7, COORD_H7, COORD_A8, COORD_B8, COORD_F8, COORD_H8
267.945 COORD_A1, COORD_E1, COORD_H1, COORD_B2, COORD_G2, COORD_G4, COORD_D5, COORD_G5, COORD_C6, COORD_C7
267.953 COORD_E1, COORD_F1, COORD_H1, COORD_E2, COORD_H2, COORD_B3, COORD_C3, COORD_H5, COORD_E8, COORD_H8
268.089 COORD_F1, COORD_G1, COORD_H1, COORD_F2, COORD_A4, COORD_H5, COORD_A6, COORD_H6, COORD_A8, COORD_B8
268.135 COORD_H3, COORD_H4, COORD_A7, COORD_B7, COORD_D7, COORD_F7, COORD_A8, COORD_D8, COORD_F8, COORD_H8
268.274 COORD_A1, COORD_C1, COORD_H1, COORD_C4, COORD_C5, COORD_A7, COORD_F7, COORD_A8, COORD_E8, COORD_F8
268.351 COORD_D1, COORD_F1, COORD_A3, COORD_B3, COORD_F3, COORD_G3, COORD_H6, COORD_A8, COORD_F8, COORD_H8
269.333 COORD_H1, COORD_F2, COORD_G2, COORD_A3, COORD_B4, COORD_F4, COORD_H4, COORD_B6, COORD_A8, COORD_H8
269.406 COORD_A1, COORD_H1, COORD_A2, COORD_G2, COORD_B4, COORD_A5, COORD_B5, COORD_B6, COORD_E6, COORD_A8
269.668 COORD_A1, COORD_B1, COORD_F1, COORD_G1, COORD_H1, COORD_H2, COORD_H3, COORD_H5, COORD_D6, COORD_G8
269.679 COORD_E1, COORD_H1, COORD_G2, COORD_C3, COORD_H5, COORD_C7, COORD_E7, COORD_E8, COORD_F8, COORD_H8
269.781 COORD_A1, COORD_E1, COORD_F1, COORD_C2, COORD_H2, COORD_A6, COORD_D6, COORD_A7, COORD_A8, COORD_H8
2049 352890
217.081 COORD_A1, COORD_C1, COORD_H1, COORD_E2, COORD_H3, COORD_A7, COORD_B7, COORD_A8, COORD_C8, COORD_H8
242.184 COORD_H1, COORD_C2, COORD_B3, COORD_C6, COORD_C7, COORD_G7, COORD_A8, COORD_D8, COORD_E8, COORD_H8
252.827 COORD_A1, COORD_B1, COORD_F1, COORD_A4, COORD_A5, COORD_A7, COORD_E7, COORD_A8, COORD_B8, COORD_E8
258.904 COORD_A1, COORD_H1, COORD_G2, COORD_H2, COORD_H3, COORD_B4, COORD_B5, COORD_H5, COORD_G6, COORD_H6
259.015 COORD_A1, COORD_H1, COORD_B2, COORD_D2, COORD_G2, COORD_E3, COORD_B7, COORD_D7, COORD_A8, COORD_C8
259.629 COORD_H1, COORD_C2, COORD_B4, COORD_D5, COORD_G5, COORD_H5, COORD_B6, COORD_A8, COORD_D8, COORD_H8
260.31 COORD_E1, COORD_H1, COORD_H2, COORD_B3, COORD_D5, COORD_C6, COORD_G6, COORD_A8, COORD_G8, COORD_H8
260.97 COORD_A1, COORD_E1, COORD_H1, COORD_A2, COORD_H3, COORD_F4, COORD_C6, COORD_G6, COORD_F7, COORD_A8
261.957 COORD_C1, COORD_E1, COORD_D2, COORD_H4, COORD_B5, COORD_H5, COORD_A6, COORD_A8, COORD_C8, COORD_H8
262.12 COORD_A1, COORD_H1, COORD_H2, COORD_B3, COORD_H3, COORD_A5, COORD_G6, COORD_H6, COORD_C8, COORD_E8
262.24 COORD_A1, COORD_E1, COORD_F1, COORD_B2, COORD_H5, COORD_H6, COORD_E7, COORD_C8, COORD_F8, COORD_H8
262.256 COORD_A1, COORD_B1, COORD_A2, COORD_G3, COORD_G4, COORD_G5, COORD_B6, COORD_G6, COORD_B7, COORD_A8
262.49 COORD_E1, COORD_G3, COORD_G4, COORD_H4, COORD_G5, COORD_G7, COORD_A8, COORD_F8, COORD_G8, COORD_H8
263.252 COORD_H1, COORD_G2, COORD_C3, COORD_H3, COORD_A5, COORD_G5, COORD_A6, COORD_D7, COORD_A8, COORD_H8
263.41 COORD_A1, COORD_C1, COORD_H1, COORD_C4, COORD_E4, COORD_A7, COORD_F7, COORD_A8, COORD_E8, COORD_F8
263.636 COORD_H1, COORD_H2, COORD_C3, COORD_D3, COORD_F5, COORD_A6, COORD_H7, COORD_A8, COORD_C8, COORD_H8
263.918 COORD_A1, COORD_H1, COORD_G3, COORD_F4, COORD_E5, COORD_H5, COORD_H6, COORD_E8, COORD_F8, COORD_H8
264.06 COORD_A1, COORD_B1, COORD_H1, COORD_F2, COORD_A5, COORD_F6, COORD_E7, COORD_H7, COORD_C8, COORD_H8
264.172 COORD_H1, COORD_C2, COORD_G2, COORD_D4, COORD_C5, COORD_C7, COORD_H7, COORD_D8, COORD_E8, COORD_H8
264.598 COORD_A1, COORD_E1, COORD_H1, COORD_B2, COORD_C2, COORD_G2, COORD_B3, COORD_B4, COORD_D7, COORD_F8
264.878 COORD_H1, COORD_H2, COORD_A3, COORD_B3, COORD_B4, COORD_H4, COORD_G6, COORD_H6, COORD_D8, COORD_H8
265.21 COORD_G1, COORD_H1, COORD_D2, COORD_E2, COORD_H3, COORD_A4, COORD_E6, COORD_B7, COORD_A8, COORD_H8
265.327 COORD_A1, COORD_C1, COORD_H1, COORD_B2, COORD_H4, COORD_G6, COORD_H6, COORD_B8, COORD_D8, COORD_E8
265.335 COORD_H3, COORD_A5, COORD_G5, COORD_H5, COORD_G6, COORD_B7, COORD_A8, COORD_B8, COORD_F8, COORD_H8
265.449 COORD_A1, COORD_B1, COORD_C1, COORD_G1, COORD_H1, COORD_H3, COORD_H4, COORD_F6, COORD_G6, COORD_G8
266.603 COORD_A1, COORD_F1, COORD_F4, COORD_H4, COORD_A5, COORD_B5, COORD_E7, COORD_A8, COORD_E8, COORD_H8
266.789 COORD_D1, COORD_H1, COORD_A2, COORD_G2, COORD_C3, COORD_H3, COORD_G5, COORD_A6, COORD_A8, COORD_H8
266.975 COORD_E1, COORD_G1, COORD_H1, COORD_D2, COORD_A3, COORD_E6, COORD_C7, COORD_A8, COORD_G8, COORD_H8
267.537 COORD_G3, COORD_A4, COORD_G4, COORD_B7, COORD_C7, COORD_H7, COORD_A8, COORD_B8, COORD_F8, COORD_H8
267.945 COORD_A1, COORD_E1, COORD_H1, COORD_B2, COORD_G2, COORD_G4, COORD_D5, COORD_G5, COORD_C6, COORD_C7
267.953 COORD_E1, COORD_F1, COORD_H1, COORD_E2, COORD_H2, COORD_B3, COORD_C3, COORD_H5, COORD_E8, COORD_H8
268.089 COORD_F1, COORD_G1, COORD_H1, COORD_F2, COORD_A4, COORD_H5, COORD_A6, COORD_H6, COORD_A8, COORD_B8
268.135 COORD_H3, COORD_H4, COORD_A7, COORD_B7, COORD_D7, COORD_F7, COORD_A8, COORD_D8, COORD_F8, COORD_H8
268.274 COORD_A1, COORD_C1, COORD_H1, COORD_C4, COORD_C5, COORD_A7, COORD_F7, COORD_A8, COORD_E8, COORD_F8
268.351 COORD_D1, COORD_F1, COORD_A3, COORD_B3, COORD_F3, COORD_G3, COORD_H6, COORD_A8, COORD_F8, COORD_H8
269.333 COORD_H1, COORD_F2, COORD_G2, COORD_A3, COORD_B4, COORD_F4, COORD_H4, COORD_B6, COORD_A8, COORD_H8
269.406 COORD_A1, COORD_H1, COORD_A2, COORD_G2, COORD_B4, COORD_A5, COORD_B5, COORD_B6, COORD_E6, COORD_A8
269.668 COORD_A1, COORD_B1, COORD_F1, COORD_G1, COORD_H1, COORD_H2, COORD_H3, COORD_H5, COORD_D6, COORD_G8
269.679 COORD_E1, COORD_H1, COORD_G2, COORD_C3, COORD_H5, COORD_C7, COORD_E7, COORD_E8, COORD_F8, COORD_H8
269.781 COORD_A1, COORD_E1, COORD_F1, COORD_C2, COORD_H2, COORD_A6, COORD_D6, COORD_A7, COORD_A8, COORD_H8
2177 377179
217.081 COORD_A1, COORD_C1, COORD_H1, COORD_E2, COORD_H3, COORD_A7, COORD_B7, COORD_A8, COORD_C8, COORD_H8
242.184 COORD_H1, COORD_C2, COORD_B3, COORD_C6, COORD_C7, COORD_G7, COORD_A8, COORD_D8, COORD_E8, COORD_H8
252.827 COORD_A1, COORD_B1, COORD_F1, COORD_A4, COORD_A5, COORD_A7, COORD_E7, COORD_A8, COORD_B8, COORD_E8
258.904 COORD_A1, COORD_H1, COORD_G2, COORD_H2, COORD_H3, COORD_B4, COORD_B5, COORD_H5, COORD_G6, COORD_H6
259.015 COORD_A1, COORD_H1, COORD_B2, COORD_D2, COORD_G2, COORD_E3, COORD_B7, COORD_D7, COORD_A8, COORD_C8
259.629 COORD_H1, COORD_C2, COORD_B4, COORD_D5, COORD_G5, COORD_H5, COORD_B6, COORD_A8, COORD_D8, COORD_H8
260.31 COORD_E1, COORD_H1, COORD_H2, COORD_B3, COORD_D5, COORD_C6, COORD_G6, COORD_A8, COORD_G8, COORD_H8
260.97 COORD_A1, COORD_E1, COORD_H1, COORD_A2, COORD_H3, COORD_F4, COORD_C6, COORD_G6, COORD_F7, COORD_A8
261.957 COORD_C1, COORD_E1, COORD_D2, COORD_H4, COORD_B5, COORD_H5, COORD_A6, COORD_A8, COORD_C8, COORD_H8
262.12 COORD_A1, COORD_H1, COORD_H2, COORD_B3, COORD_H3, COORD_A5, COORD_G6, COORD_H6, COORD_C8, COORD_E8
262.24 COORD_A1, COORD_E1, COORD_F1, COORD_B2, COORD_H5, COORD_H6, COORD_E7, COORD_C8, COORD_F8, COORD_H8
262.256 COORD_A1, COORD_B1, COORD_A2, COORD_G3, COORD_G4, COORD_G5, COORD_B6, COORD_G6, COORD_B7, COORD_A8
262.49 COORD_E1, COORD_G3, COORD_G4, COORD_H4, COORD_G5, COORD_G7, COORD_A8, COORD_F8, COORD_G8, COORD_H8
262.592 COORD_A1, COORD_E1, COORD_F1, COORD_B2, COORD_F2, COORD_H2, COORD_D6, COORD_A7, COORD_A8, COORD_H8
263.252 COORD_H1, COORD_G2, COORD_C3, COORD_H3, COORD_A5, COORD_G5, COORD_A6, COORD_D7, COORD_A8, COORD_H8
263.41 COORD_A1, COORD_C1, COORD_H1, COORD_C4, COORD_E4, COORD_A7, COORD_F7, COORD_A8, COORD_E8, COORD_F8
263.636 COORD_H1, COORD_H2, COORD_C3, COORD_D3, COORD_F5, COORD_A6, COORD_H7, COORD_A8, COORD_C8, COORD_H8
263.918 COORD_A1, COORD_H1, COORD_G3, COORD_F4, COORD_E5, COORD_H5, COORD_H6, COORD_E8, COORD_F8, COORD_H8
