0 110
346.306 1.05588
370.706 COORD_B1, COORD_H1, COORD_B3, COORD_B4, COORD_A6, COORD_C6, COORD_F6, COORD_C7, COORD_F7, COORD_G8
380.107 COORD_A1, COORD_C3, COORD_B4, COORD_G4, COORD_D5, COORD_D6, COORD_H6, COORD_B8, COORD_E8, COORD_G8
385.112 COORD_B1, COORD_F1, COORD_G1, COORD_B5, COORD_E5, COORD_F5, COORD_B6, COORD_F7, COORD_C8, COORD_G8
394.801 COORD_D1, COORD_A2, COORD_F2, COORD_G2, COORD_A3, COORD_B4, COORD_D4, COORD_F4, COORD_H5, COORD_H7
403.784 COORD_G1, COORD_F2, COORD_B3, COORD_D3, COORD_E3, COORD_E5, COORD_B6, COORD_G6, COORD_B7, COORD_F8
403.767 COORD_A1, COORD_H1, COORD_C3, COORD_D4, COORD_F4, COORD_F5, COORD_H5, COORD_C8, COORD_D8, COORD_E8
371.735 1.03319
235.495 COORD_B1, COORD_H1, COORD_B2, COORD_A3, COORD_G3, COORD_F5, COORD_H5, COORD_B6, COORD_H6, COORD_H8
303.799 COORD_B1, COORD_F1, COORD_A2, COORD_B3, COORD_D3, COORD_F3, COORD_G3, COORD_E4, COORD_F4, COORD_C8
308.924 COORD_D1, COORD_D4, COORD_G4, COORD_C5, COORD_B6, COORD_C7, COORD_A8, COORD_B8, COORD_G8, COORD_H8
334.797 COORD_B1, COORD_A3, COORD_F3, COORD_A4, COORD_B5, COORD_G5, COORD_D7, COORD_G7, COORD_H7, COORD_B8
355.946 COORD_A1, COORD_D2, COORD_B3, COORD_F4, COORD_C5, COORD_E5, COORD_A6, COORD_B6, COORD_E7, COORD_F8
365.756 COORD_B1, COORD_A2, COORD_C2, COORD_C3, COORD_H3, COORD_E4, COORD_E5, COORD_H5, COORD_E6, COORD_C8
382.336 COORD_C1, COORD_E2, COORD_G2, COORD_D4, COORD_F4, COORD_H4, COORD_E6, COORD_G6, COORD_B7, COORD_C7
388.324 COORD_B1, COORD_C2, COORD_A3, COORD_G4, COORD_C5, COORD_H5, COORD_E7, COORD_F7, COORD_H7, COORD_A8
400.544 COORD_D2, COORD_C3, COORD_B4, COORD_C5, COORD_F5, COORD_G5, COORD_C6, COORD_B7, COORD_C8, COORD_D8
409.333 COORD_D3, COORD_D4, COORD_E4, COORD_H4, COORD_H5, COORD_C6, COORD_F6, COORD_A7, COORD_D8, COORD_E8
414.329 COORD_B2, COORD_D3, COORD_B4, COORD_A5, COORD_B6, COORD_D6, COORD_F7, COORD_H7, COORD_F8, COORD_G8
417.948 COORD_G1, COORD_G2, COORD_H2, COORD_A3, COORD_G3, COORD_B5, COORD_C5, COORD_E5, COORD_D8, COORD_G8


128 12572
346.306 1.05588
213.841 COORD_A1, COORD_E1, COORD_G1, COORD_B2, COORD_G2, COORD_H2, COORD_B5, COORD_G7, COORD_H7, COORD_H8
241.205 COORD_E1, COORD_H1, COORD_C2, COORD_D2, COORD_F2, COORD_A3, COORD_A6, COORD_B6, COORD_C6, COORD_H8
271.91 COORD_B1, COORD_C1, COORD_H2, COORD_A3, COORD_C4, COORD_G4, COORD_D5, COORD_H5, COORD_F6, COORD_H8
281.796 COORD_F1, COORD_G1, COORD_H3, COORD_A4, COORD_C4, COORD_C5, COORD_F7, COORD_G7, COORD_E8, COORD_H8
312.162 COORD_C1, COORD_C2, COORD_G2, COORD_H3, COORD_F4, COORD_G4, COORD_E5, COORD_F5, COORD_H6, COORD_B8
348.167 COORD_A2, COORD_E2, COORD_G2, COORD_H2, COORD_H3, COORD_A4, COORD_C4, COORD_G4, COORD_B6, COORD_D6
352.059 COORD_A3, COORD_C3, COORD_A4, COORD_H4, COORD_A5, COORD_C5, COORD_A7, COORD_E7, COORD_A8, COORD_D8
358.408 COORD_F1, COORD_H1, COORD_H2, COORD_D4, COORD_F4, COORD_H4, COORD_B5, COORD_B6, COORD_H7, COORD_D8
374.529 COORD_B1, COORD_B3, COORD_G3, COORD_A4, COORD_D4, COORD_G5, COORD_G6, COORD_A7, COORD_D7, COORD_H7
