0 166
413.533 1.09742
407.076 COORD_E1, COORD_A2, COORD_F3, COORD_H3, COORD_B6, COORD_D6, COORD_B7, COORD_C7, COORD_F7, COORD_G8
415.679 COORD_C2, COORD_G2, COORD_A3, COORD_B4, COORD_D4, COORD_D5, COORD_E6, COORD_G7, COORD_H7, COORD_A8
433.016 COORD_B3, COORD_D3, COORD_F3, COORD_D4, COORD_A5, COORD_A6, COORD_C6, COORD_E6, COORD_C7, COORD_G8
439.323 COORD_C1, COORD_E1, COORD_G1, COORD_B3, COORD_A4, COORD_E4, COORD_F6, COORD_F7, COORD_H7, COORD_C8
433.811 COORD_H1, COORD_D2, COORD_E2, COORD_A3, COORD_B4, COORD_C5, COORD_B6, COORD_A7, COORD_E8, COORD_H8
439.622 COORD_H1, COORD_A2, COORD_C2, COORD_E2, COORD_A3, COORD_H3, COORD_F4, COORD_F5, COORD_G7, COORD_G8
428.658 1.05351
303.153 COORD_A1, COORD_A2, COORD_D3, COORD_F3, COORD_B4, COORD_E5, COORD_A6, COORD_H6, COORD_E7, COORD_C8
382.017 COORD_A3, COORD_D3, COORD_D5, COORD_E5, COORD_F5, COORD_G5, COORD_B6, COORD_H6, COORD_B7, COORD_F8
381.766 COORD_C1, COORD_E1, COORD_G1, COORD_H1, COORD_E2, COORD_H2, COORD_F3, COORD_F5, COORD_G5, COORD_D6
399.303 COORD_F2, COORD_B3, COORD_F3, COORD_G3, COORD_H3, COORD_C5, COORD_C6, COORD_B7, COORD_B8, COORD_H8
399.744 COORD_E1, COORD_G2, COORD_D4, COORD_E4, COORD_F4, COORD_A6, COORD_A7, COORD_G7, COORD_A8, COORD_H8
409.161 COORD_H1, COORD_C2, COORD_E2, COORD_C3, COORD_C4, COORD_E4, COORD_G4, COORD_H5, COORD_E6, COORD_H6
412.158 COORD_C1, COORD_B2, COORD_B3, COORD_E3, COORD_B5, COORD_E5, COORD_D6, COORD_D7, COORD_A8, COORD_H8
